month,model_score,reference_score
2015-01,-0.18181818181818182,-0.3333333333333333
2015-04,-0.4375,-0.1818181818181818
2015-07,-0.0625,-0.24
2015-10,0.0,-0.3333333333333333
2016-01,-0.17647058823529413,-0.1363636363636363
2016-04,-0.06666666666666667,-0.1923076923076923
2016-07,-0.2222222222222222,-0.1481481481481481
2016-10,-0.23076923076923078,-0.2727272727272727
2017-01,0.0,0.0
2017-04,0.07142857142857142,0.0833333333333333
2017-07,0.0,0.0769230769230769
2017-10,-0.14285714285714285,0.0869565217391304
2018-04,0.29411764705882354,0.037037037037037
2018-10,-0.09090909090909091,0.08
2019-01,0.25,-0.2857142857142857
2019-04,-0.21428571428571427,-0.24
2019-10,-0.14285714285714285,-0.12
2020-01,-0.1111111111111111,-0.125
2020-04,-0.05263157894736842,-0.6176470588235294
2020-10,-0.16666666666666666,-0.4838709677419355
2021-04,-0.7142857142857143,0.0555555555555555
2021-10,1.0,0.0
2022-01,-0.2727272727272727,0.4285714285714285
2022-10,0.3157894736842105,0.2333333333333333
2023-01,1.0,0.0666666666666666
2023-10,0.038461538461538464,0.0303030303030303
2024-01,0.0,-0.2962962962962963
2024-07,0.0,-0.1666666666666666
2024-10,-0.2903225806451613,-0.2941176470588235
