month,model_score,reference_score
2015-01,-0.18181818181818182,-0.3333333333333333
2015-04,-0.16666666666666666,-0.1818181818181818
2015-07,-0.0625,-0.24
2015-10,0.0,-0.3333333333333333
2016-01,-0.1111111111111111,-0.1363636363636363
2016-04,-0.23684210526315788,-0.1923076923076923
2016-07,-0.2222222222222222,-0.1481481481481481
2016-10,-0.2777777777777778,-0.2727272727272727
2017-01,0.0,0.0
2017-04,0.0,0.0833333333333333
2017-07,0.0,0.0769230769230769
2018-04,0.21739130434782608,0.037037037037037
2018-10,-0.058823529411764705,0.08
2019-01,0.2631578947368421,-0.2857142857142857
2019-04,-0.2857142857142857,-0.24
2020-01,-0.07563025210084033,-0.125
2020-04,-0.10526315789473684,-0.6176470588235294
2021-04,-0.7142857142857143,0.0555555555555555
2022-10,0.2,0.2333333333333333
2023-10,0.2222222222222222,0.0303030303030303
